fram_x,predict

0,20

1,10

2,20

3,23

4,21

5,30

6,16

7,22

8,22

9,21

10,24

11,15

12,11

13,20

14,17

15,23

16,24

17,21

18,22

19,19

20,25

21,18

22,27

23,24

24,18

25,21

26,23

27,25

28,23

29,29

30,27

31,20

32,18

33,18

34,16

35,20

36,19

37,23

38,12

39,18

40,10

41,14

42,21

43,18

44,20

45,22

46,19

47,17

48,16

49,9

50,19

51,23

52,17

53,15

54,17

55,16

56,19

57,22

58,16

59,8

60,12

61,9

62,15

63,15

64,15

65,12

66,16

67,16

68,11

69,11

70,13

71,9

72,12

73,14

74,12

75,12

76,13

77,10

78,14

79,9

80,9

81,11

82,12

83,9

84,9

85,13

86,13

87,14

88,14

89,15

90,12

91,13

92,13

93,7

94,7

95,8

96,10

97,9

98,11

99,12

100,10

101,10

102,8

103,6

104,8

105,12

106,13

107,10

108,12

109,12

110,13

111,10

112,9

113,8

114,7

115,9

116,10

117,12

118,12

119,14

120,17

121,11

122,15

123,16

124,15

125,15

126,15

127,15

128,10

129,9

130,8

131,9

132,12

133,14

134,12

135,11

136,10

137,11

138,14

139,10

140,14

141,10

142,12

143,13

144,10

145,11

146,17

147,12

148,12

149,12

150,14

151,15

152,15

153,14

154,16

155,11

156,15

157,10

158,11

159,13

160,12

161,15

162,14

163,9

164,12

165,15

166,12

167,10

168,10

169,13

170,14

171,15

