path,predict
0,{}
1,{}
2,{}
3,{}
4,"{'pottedplant': [[635, 97, 722, 249]]}"
5,"{'dog': [[301, 602, 510, 724], [322, 706, 509, 855]]}"
6,"{'pottedplant': [[7, 314, 734, 942]]}"
7,{}
8,{}
9,{}
10,"{'pottedplant': [[539, 830, 741, 988]]}"
11,{}
12,{}
13,{}
14,"{'pottedplant': [[224, 212, 637, 499]]}"
15,"{'pottedplant': [[486, 99, 727, 431]]}"
16,{}
17,{}
18,{}
19,{}
20,"{'pottedplant': [[325, 344, 556, 494]]}"
21,"{'chair': [[304, 722, 556, 1031], [363, 530, 630, 703]]}"
22,"{'sofa': [[293, 241, 555, 568], [355, 1101, 724, 1271]], 'pottedplant': [[197, 1064, 299, 1165]], 'chair': [[369, 74, 709, 254]]}"
23,"{'tvmonitor': [[263, 933, 418, 1191]], 'sofa': [[384, 15, 694, 362], [460, 939, 762, 1247]], 'pottedplant': [[307, 884, 405, 975]], 'chair': [[530, 2, 724, 54]]}"
24,"{'book': [[364, 166, 556, 1108]]}"
25,"{'cup': [[281, 558, 421, 645]]}"
26,"{'pottedplant': [[34, 1096, 168, 1280]], 'vase': [[549, 685, 730, 848]]}"
27,"{'chair': [[463, 978, 761, 1270]], 'laptop': [[399, 278, 629, 454]]}"
28,"{'chair': [[384, 394, 606, 543], [502, 1145, 745, 1276]], 'diningtable': [[441, 501, 655, 746]], 'book': [[366, 1102, 392, 1204], [382, 1097, 402, 1209], [397, 1095, 414, 1208], [409, 1091, 432, 1210], [421, 1090, 449, 1211]]}"
29,"{'chair': [[296, 97, 662, 343], [275, 566, 371, 652], [258, 475, 316, 523]], 'wine glass': [[115, 954, 191, 988]], 'bowl': [[296, 324, 334, 430], [453, 915, 493, 1025]]}"
30,"{'diningtable': [[480, 133, 718, 683]], 'chair': [[604, 390, 734, 672], [468, 582, 564, 655], [478, 98, 723, 345], [446, 476, 509, 533], [447, 523, 527, 586]], 'wine glass': [[94, 955, 167, 1000], [92, 970, 168, 1017]], 'bowl': [[488, 330, 531, 439], [647, 937, 691, 1038]]}"
31,"{'wine glass': [[393, 951, 465, 995], [396, 974, 462, 1019]]}"
32,"{'diningtable': [[504, -20, 730, 921]], 'chair': [[464, 263, 567, 388]], 'vase': [[519, 78, 626, 177]], 'bowl': [[553, 201, 637, 366]]}"
33,"{'pottedplant': [[299, 7, 732, 295], [108, 437, 331, 602]], 'cup': [[397, 259, 481, 306], [419, 307, 481, 352], [418, 346, 481, 405]], 'bowl': [[589, 394, 627, 456], [602, 329, 638, 402]]}"
34,"{'pottedplant': [[543, 956, 755, 1261]], 'diningtable': [[612, 757, 754, 1278]], 'chair': [[555, 883, 672, 961], [584, 760, 732, 862], [620, 596, 739, 758]], 'cup': [[446, 35, 504, 125]], 'vase': [[670, 1067, 733, 1176]]}"
35,{}
