frame_x,predict
0,a5Y36982
1,aaX63908
2,a2K83713
3,aaY84090
4,aaA05061
5,aaS14243
6,a3D76774
7,a2O77280
8,a8Q31451
9,a9R75508
10,aaK10564
11,aaG59770
12,aaI45003
13,aaO53534
14,a5F38777
15,a1D91276
16,aaF68371
17,a9H65456
18,a6T77949
19,aaW54000
20,aaQ36095
21,aaT07024
22,aaB12455
23,a2A57107
24,a1L11282
25,aaU98903
26,a0L22606
27,aaC45183
28,aaK25821
29,a0A58982
30,aaW35727
31,a2K82075
32,a2J71457
33,a5N28015
34,a6W24001
35,aaH33587
36,a9V80352
37,a1Q72095
38,a8H83547
39,aaQ57726
40,aaI27604
41,a1D14176
42,a1Z39653
43,aaD52710
44,aaH69356
45,aaW75813
46,aaG62786
47,aaR64474
48,a1S89641
49,a4U14027
50,a8W83645
51,a5F01666
52,aaF39762
53,aaT92948
54,a2L53403
55,a7C81001
56,a3J06092
57,aaP28270
58,aaB91867
59,aaI46365
60,aaT71888
61,aaX26279
62,aaQ96653
63,a7M95958
64,aaO24520
65,aaT02763
66,aaJ45205
67,aaW03589
68,aaF36283
69,aaN39184
70,aaO58641
71,a8N06692
72,a6Q94693
73,a6C22593
74,a4P72879
75,aaX27034
76,aaT46168
77,aaV16718
78,aaS54466
79,a3U87534
80,a1O19493
81,aaZ95546
82,aaX42416
83,a2Q94631
84,a3S24663
85,aaW09869
86,aaD69881
87,aaB83352
88,a2M91297
89,a9B94724
90,aaO25717
91,aaJ34767
92,a9R23111
93,a1K98245
94,a3K80793
95,a1C01475
96,a5P83699
97,a2S90205
98,a0Q73710
99,a2Y08119
100,a1M28816
