frame_x,predict
0,a1Y45713
1,aaM78090
2,aaT99392
3,a2X70137
4,aaS93042
5,a8K45385
6,a1M56963
7,aaD90130
8,a1Z43221
9,a9U17700
10,a0K69029
11,aaV08493
12,aaN55521
13,a1L87219
14,aaZ76474
15,a9A75371
16,aaV28600
17,a6W00952
18,a9J41283
19,aaF78327
20,a9D91089
21,aaK39155
22,aaH25800
23,aaW86197
24,a6L92430
25,a6P45122
26,aaT56854
27,a7Y98276
28,a2J84949
29,a3J14678
30,aaV09830
31,aaF56756
32,aaZ50402
33,a5Y90519
34,a3N79967
35,aaG07957
36,aaP53586
37,aaQ78361
38,a8C20492
39,a5U49941
40,a0T52419
41,a8B68968
42,a6Y79058
43,a7F57770
44,a8R12674
45,a0J43531
46,aaY12781
47,a7S86353
48,a2F45625
49,a2Y04857
50,a9S41013
51,aaL51690
52,a3I46083
53,a8B45360
54,a9O64436
55,a8H75388
56,a1G63331
57,a7J29311
58,a0N74354
59,aaM10368
60,aaC18817
61,a3O45733
62,aaZ82860
63,aaY95313
64,a6L68319
65,aaY91569
66,aaV59934
67,a1D17953
68,a3M60206
69,aaX59424
70,aaB80934
71,aaJ65652
72,aaQ48102
73,aaI49193
74,a8Z04289
75,aaL22995
76,a0U69030
77,a2F84337
78,aaN28436
79,aaO16093
80,a4J99708
81,aaT01146
82,a9L68140
83,a0X14099
84,aaI60366
85,aaY48505
86,aaH23454
87,aaM08973
88,aaS86374
89,aaR92216
90,aaB99748
91,a9L17253
92,a1T44425
93,a0J14542
94,a2M09622
95,a7D86285
96,a3A18330
97,a5Z38066
98,a9V88228
99,a0C83683
100,aaP16981
