frame_x,predict
0,a0I00072
1,aaN14510
2,a9F37926
3,a9Z79584
4,a5D09522
5,a2C11196
6,aaK21552
7,aaQ48380
8,aaS47168
9,a0K52969
10,a6F49972
11,aaR65160
12,aaM35178
13,aaF57608
14,a6Z40195
15,aaI32289
16,aaW41139
17,aaU58826
18,aaA35215
19,aaT79852
20,a1G33917
21,a9D89241
22,a1F90692
23,aaW16655
24,a7N47087
25,a1L51054
26,a0A43622
27,a1H44428
28,a8U39163
29,aaT87536
30,a0D08666
31,a2Q43794
32,aaU83725
33,a7O47029
34,aaM73177
35,aaC42157
36,aaO84088
37,a1O80765
38,aaB10011
39,aaG51973
40,a5P21983
41,aaR68470
42,aaS13960
43,aaY84784
44,a8B96762
45,aaK00311
46,a8K18235
47,aaD42886
48,aaW49794
49,a8S24066
50,a8U99076
51,a9S81859
52,a4I74683
53,a2O21289
54,aaT54279
55,a7H50713
56,aaZ74423
57,aaO00022
58,a2R67694
59,a7O63269
60,aaL89409
61,aaA12071
62,aaH80588
63,a3G77933
64,a6R36226
65,a0N96542
66,aaC85164
67,aaI00413
68,a5I83842
69,aaJ63179
70,a3Z89903
71,a8P69473
72,a1T79401
73,a9F21520
74,aaX51131
75,a0R08141
76,a8G83817
77,aaL99033
78,a9V93370
79,aaZ75566
80,aaH49241
81,a1J80824
82,a7D99332
83,a4T86493
84,a2R98958
85,aaY00678
86,aaU11672
87,a8P53256
88,aaB37780
89,a7O60261
90,aaB39909
91,aaR74120
92,a4S44739
93,a2I24741
94,aaY99293
95,aaT01340
96,a3J66539
97,aaV99304
98,a9A03908
99,a9P57754
100,a7Y02993
