fram_x,predict
0,11
1,4
2,3
3,0
4,3
5,6
6,1
7,3
8,1
9,3
10,5
11,3
12,4
13,2
14,4
15,3
16,1
17,7
18,3
19,5
20,0
21,1
22,2
23,3
24,3
25,3
26,4
27,4
28,2
29,3
30,7
31,4
32,1
33,2
34,7
35,3
36,1
37,3
38,5
39,2
40,0
41,4
42,7
43,1
44,0
45,4
46,1
47,1
48,1
49,1
50,6
51,1
52,4
53,3
54,5
55,5
56,3
57,4
58,5
59,8
60,5
61,6
62,7
63,7
64,2
65,3
66,4
67,7
68,3
69,2
70,5
71,1
72,4
73,7
74,2
75,2
76,2
77,3
78,6
79,2
80,2
81,3
82,2
83,3
84,4
85,0
86,2
87,3
88,4
89,3
90,4
91,3
92,2
93,1
94,1
95,5
96,0
97,4
98,2
99,0
