fram_x,predict
0,9
1,8
2,6
3,6
4,8
5,8
6,5
7,3
8,4
9,3
10,5
11,6
12,8
13,7
14,8
15,6
16,8
17,5
18,5
19,7
20,8
21,8
22,7
23,11
24,13
25,8
26,6
27,7
28,10
29,8
30,4
31,8
32,7
33,8
34,8
35,7
36,3
37,8
38,6
39,6
40,9
41,11
42,7
43,6
44,6
45,12
46,11
47,5
48,5
49,6
50,7
51,8
52,9
53,8
54,10
55,10
56,8
57,5
58,10
59,10
60,9
61,5
62,6
63,6
64,8
65,8
66,8
67,10
68,7
69,10
70,8
71,9
72,10
73,7
74,6
75,7
76,9
77,10
78,11
79,10
80,10
81,11
82,9
83,7
84,5
85,9
86,9
87,9
88,11
89,11
90,8
91,10
92,12
93,10
94,9
95,6
96,4
97,7
98,9
99,9
100,8
101,9
102,6
103,9
104,8
105,6
106,6
107,6
108,3
109,7
110,5
111,3
112,4
113,10
114,5
115,6
116,7
117,7
118,8
119,6
120,7
121,7
122,6
123,6
124,9
125,7
126,8
127,8
128,5
129,4
130,4
131,8
132,6
133,6
134,8
135,10
136,3
137,9
138,6
139,11
140,11
141,5
142,7
143,7
144,5
145,4
146,5
147,5
148,4
149,3
150,10
151,10
152,7
153,6
154,4
155,8
156,6
157,3
158,2
159,3
160,7
161,7
162,6
163,5
164,5
165,7
166,6
167,6
168,5
169,5
170,4
171,8
172,7
173,8
